Arquivo:caso5.txt | CPU:4 | MIN:783 | MAX:783 | Otimizado:Na/ | Temp_MIN:5.7697296142578125e-05 | Temp_MAX:2.7894973754882812e-05
Arquivo:caso6.txt | CPU:4 | MIN:1157 | MAX:1157 | Otimizado:Na/ | Temp_MIN:6.628036499023438e-05 | Temp_MAX:2.765655517578125e-05
Arquivo:caso7.txt | CPU:4 | MIN:767 | MAX:767 | Otimizado:Na/ | Temp_MIN:6.747245788574219e-05 | Temp_MAX:4.9114227294921875e-05
Arquivo:caso10.txt | CPU:5 | MIN:1568 | MAX:1568 | Otimizado:Na/ | Temp_MIN:0.00010776519775390625 | Temp_MAX:5.1975250244140625e-05
Arquivo:caso100.txt | CPU:12 | MIN:3315 | MAX:3315 | Otimizado:Na/ | Temp_MIN:0.0008311271667480469 | Temp_MAX:0.0007698535919189453
Arquivo:caso200.txt | CPU:16 | MIN:4691 | MAX:4657 | Otimizado:Max | Temp_MIN:0.00214385986328125 | Temp_MAX:0.0022385120391845703
Arquivo:caso500.txt | CPU:24 | MIN:7742 | MAX:6931 | Otimizado:Max | Temp_MIN:0.007886171340942383 | Temp_MAX:0.00973963737487793
Arquivo:caso1000.txt | CPU:33 | MIN:9332 | MAX:9022 | Otimizado:Max | Temp_MIN:0.019409656524658203 | Temp_MAX:0.01914811134338379
Arquivo:caso2000.txt | CPU:46 | MIN:15560 | MAX:13493 | Otimizado:Max | Temp_MIN:0.025429725646972656 | Temp_MAX:0.028863191604614258
Arquivo:caso5000.txt | CPU:72 | MIN:20453 | MAX:19505 | Otimizado:Max | Temp_MIN:0.10029959678649902 | Temp_MAX:0.1307363510131836
Arquivo:caso10000.txt | CPU:102 | MIN:27401 | MAX:27012 | Otimizado:Max | Temp_MIN:0.2809326648712158 | Temp_MAX:0.35352158546447754
Arquivo:caso20000.txt | CPU:143 | MIN:38960 | MAX:37715 | Otimizado:Max | Temp_MIN:0.7080245018005371 | Temp_MAX:1.0725748538970947
