Arquivo:caso5.txt | CPU:4 | Temp_MIN:0.0001239776611328125 | Temp_MAX:8.845329284667969e-05 | Temp_MIN(V2):4.3392181396484375e-05 | Temp_MAX(V2):2.3603439331054688e-05
Arquivo:caso6.txt | CPU:4 | Temp_MIN:0.0001289844512939453 | Temp_MAX:0.00011539459228515625 | Temp_MIN(V2):7.033348083496094e-05 | Temp_MAX(V2):4.887580871582031e-05
Arquivo:caso7.txt | CPU:4 | Temp_MIN:0.0001354217529296875 | Temp_MAX:0.000118255615234375 | Temp_MIN(V2):6.794929504394531e-05 | Temp_MAX(V2):5.0067901611328125e-05
Arquivo:caso10.txt | CPU:5 | Temp_MIN:0.0001976490020751953 | Temp_MAX:0.0002079010009765625 | Temp_MIN(V2):8.7738037109375e-05 | Temp_MAX(V2):7.319450378417969e-05
Arquivo:caso100.txt | CPU:12 | Temp_MIN:0.0036373138427734375 | Temp_MAX:0.009843111038208008 | Temp_MIN(V2):0.0006525516510009766 | Temp_MAX(V2):0.0006892681121826172
Arquivo:caso200.txt | CPU:16 | Temp_MIN:0.016016006469726562 | Temp_MAX:0.012908220291137695 | Temp_MIN(V2):0.0017185211181640625 | Temp_MAX(V2):0.0017962455749511719
Arquivo:caso500.txt | CPU:24 | Temp_MIN:0.07143235206604004 | Temp_MAX:0.047392845153808594 | Temp_MIN(V2):0.006236553192138672 | Temp_MAX(V2):0.007753849029541016
Arquivo:caso1000.txt | CPU:33 | Temp_MIN:0.14198994636535645 | Temp_MAX:0.14179444313049316 | Temp_MIN(V2):0.01923680305480957 | Temp_MAX(V2):0.01711893081665039
Arquivo:caso2000.txt | CPU:46 | Temp_MIN:0.5598630905151367 | Temp_MAX:0.5253453254699707 | Temp_MIN(V2):0.030181884765625 | Temp_MAX(V2):0.03591179847717285
Arquivo:caso5000.txt | CPU:72 | Temp_MIN:4.091135263442993 | Temp_MAX:4.015272378921509 | Temp_MIN(V2):0.11905670166015625 | Temp_MAX(V2):0.15721464157104492
Arquivo:caso10000.txt | CPU:102 | Temp_MIN:18.226739406585693 | Temp_MAX:18.178527355194092 | Temp_MIN(V2):0.31932854652404785 | Temp_MAX(V2):0.343219518661499
Arquivo:caso20000.txt | CPU:143 | Temp_MIN:113.54235196113586 | Temp_MAX:107.75215029716492 | Temp_MIN(V2):0.7033002376556396 | Temp_MAX(V2):1.0621790885925293
